Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
0;-0.000485873;0;0;0;0
-9.71745e-05;-0.00357533;0;0;0;0
-0.000792805;-0.00360633;0;0;0;0
-0.00135551;-0.00259869;0;0;0;0
-0.00160415;-0.0013105;0;0;0;0
-0.00154542;-0.000112942;0;0;0;0
-0.00125892;0.000716151;0;0;0;0
-0.000863907;0.00121703;0;0;0;0
-0.000447719;0.00137373;0;0;0;0
-8.34284e-05;0.00140354;0;0;0;0
0.000213965;0.00126565;0;0;0;0
0.000424303;0.00115393;0;0;0;0
0.000570229;0.00100018;0;0;0;0
0.000656219;0.000781784;0;0;0;0
0.000681332;0.00053738;0;0;0;0
0.000652542;0.000354183;0;0;0;0
0.00059287;5.78359e-05;0;0;0;0
0.000485863;-0.000147308;0;0;0;0
0.000359229;-0.00206147;0;0;0;0
-0.000124911;-0.000759895;0;0;0;0
-0.000251908;-0.000525347;0;0;0;0
-0.000306596;-0.000402646;0;0;0;0
-0.000325806;-0.000394308;0;0;0;0
-0.000339506;-0.000681946;0;0;0;0
-0.000407994;-0.000789545;0;0;0;0
-0.000484304;-0.000658299;0;0;0;0
-0.000519103;-0.00046478;0;0;0;0
-0.000508238;-0.000296109;0;0;0;0
-0.000465813;-0.000271392;0;0;0;0
-0.000426929;-0.000269774;0;0;0;0
-0.000395498;-0.000515073;0;0;0;0
-0.000419413;-0.00079722;0;0;0;0
-0.000494974;-0.000750032;0;0;0;0
-0.000545986;-0.000485018;0;0;0;0
-0.000533792;-0.000210653;0;0;0;0
-0.000469164;1.15515e-05;0;0;0;0
-0.000373021;0.000126254;0;0;0;0
-0.000273166;0.000101496;0;0;0;0
-0.000198234;1.10007e-05;0;0;0;0
-0.000156387;-0.000112791;0;0;0;0
-0.000147668;-0.000608609;0;0;0;0
-0.000239856;-0.00160137;0;0;0;0
-0.000512159;-0.000758994;0;0;0;0
-0.000561526;-0.000220404;0;0;0;0
-0.000493302;8.79382e-05;0;0;0;0
-0.000377054;0.00017202;0;0;0;0
-0.000267239;0.00090346;0;0;0;0
-3.30992e-05;0.00117458;0;0;0;0
0.000208437;0.000636968;0;0;0;0
0.000294143;0.00051407;0;0;0;0
0.000338128;0.00038329;0;0;0;0
0.000347161;0.000244739;0;0;0;0
0.000326677;4.93142e-05;0;0;0;0
0.000271204;-0.000109381;0;0;0;0
0.000195087;-0.00135219;0;0;0;0
-0.000114369;-0.00105367;0;0;0;0
-0.000302228;-0.000590552;0;0;0;0
-0.000359893;-0.000355669;0;0;0;0
-0.000359048;-0.000209193;0;0;0;0
-0.000329077;2.30139e-05;0;0;0;0
-0.000258659;0.000103482;0;0;0;0
-0.000186231;7.17518e-05;0;0;0;0
-0.000134634;-7.45402e-05;0;0;0;0
-0.000122615;-0.000752451;0;0;0;0
-0.000248583;-0.00139623;0;0;0;0
-0.000478112;-0.000763645;0;0;0;0
-0.000535219;-0.000367862;0;0;0;0
-0.000501747;-2.28734e-05;0;0;0;0
-0.000405973;0.00023082;0;0;0;0
-0.000278614;0.000285643;0;0;0;0
-0.000165763;0.00111272;0;0;0;0
8.9933e-05;0.000739881;0;0;0;0
0.000219923;0.000538416;0;0;0;0
0.000283621;0.000338357;0;0;0;0
0.000294568;0.00025274;0;0;0;0
0.000286203;4.97433e-05;0;0;0;0
0.000238911;-0.000148948;0;0;0;0
0.000161339;-0.000318909;0;0;0;0
6.52894e-05;-0.00114303;0;0;0;0
-0.000176375;-0.00102216;0;0;0;0
-0.000345532;-0.000647399;0;0;0;0
-0.000405905;-0.000416726;0;0;0;0
-0.00040807;-0.000231407;0;0;0;0
-0.000372737;-1.20527e-05;0;0;0;0
-0.0003006;0.000170419;0;0;0;0
-0.000206396;0.000221669;0;0;0;0
-0.000120783;0.000142;0;0;0;0
-6.82266e-05;-6.60052e-05;0;0;0;0
-6.77823e-05;-0.000210357;0;0;0;0
-9.62972e-05;-0.00125334;0;0;0;0
-0.000327705;-0.00115544;0;0;0;0
-0.000493252;-0.000556863;0;0;0;0
-0.000505974;-0.000277547;0;0;0;0
-0.000460289;2.41822e-05;0;0;0;0
-0.000363395;0.000314412;0;0;0;0
-0.000227833;0.000317565;0;0;0;0
-0.000118754;0.000838925;0;0;0;0
7.27821e-05;0.000664538;0;0;0;0
0.000191133;0.000476073;0;0;0;0
0.000248121;0.000344165;0;0;0;0
0.00026733;0.000154472;0;0;0;0
0.000244758;5.4913e-05;0;0;0;0
0.000206789;-0.000220742;0;0;0;0
0.000121283;-0.000458874;0;0;0;0
5.2516e-06;-0.00104626;0;0;0;0
-0.00020505;-0.000924258;0;0;0;0
-0.000348892;-0.000664466;0;0;0;0
-0.000412007;-0.000413449;0;0;0;0
-0.000412295;-0.000185697;0;0;0;0
-0.000366976;7.01823e-05;0;0;0;0
-0.000279544;0.000316851;0;0;0;0
