Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
0;-0.000533033;0;0;0;0
-0.000106607;-0.00357114;0;0;0;0
-0.000799513;-0.00356455;0;0;0;0
-0.00135252;-0.00265611;0;0;0;0
-0.00161324;-0.00132817;0;0;0;0
-0.00155623;-0.000166021;0;0;0;0
-0.00127818;0.000682542;0;0;0;0
-0.000886039;0.0011894;0;0;0;0
-0.00047095;0.00140741;0;0;0;0
-9.52785e-05;0.0013784;0;0;0;0
0.000199457;0.00132038;0;0;0;0
0.000423642;0.00116009;0;0;0;0
0.000570932;0.000981138;0;0;0;0
0.000652973;0.000766797;0;0;0;0
0.000675738;0.000580034;0;0;0;0
0.000656597;0.00036279;0;0;0;0
0.000597836;0.000117045;0;0;0;0
0.000501677;-0.000117651;0;0;0;0
0.000377812;-0.0019998;0;0;0;0
-9.7711e-05;-0.000798072;0;0;0;0
-0.000237783;-0.000516461;0;0;0;0
-0.000293519;-0.000371833;0;0;0;0
-0.000309182;-0.000407398;0;0;0;0
-0.000328825;-0.000686642;0;0;0;0
-0.000400388;-0.000796683;0;0;0;0
-0.000479647;-0.000620854;0;0;0;0
-0.000507889;-0.000462554;0;0;0;0
-0.000498822;-0.000324059;0;0;0;0
-0.000463869;-0.000275287;0;0;0;0
-0.000426153;-0.000318075;0;0;0;0
-0.000404537;-0.000515116;0;0;0;0
-0.000426653;-0.000790891;0;0;0;0
-0.000499501;-0.000660474;0;0;0;0
-0.000531696;-0.000417968;0;0;0;0
-0.00050895;-0.000185452;0;0;0;0
-0.00044425;3.88141e-05;0;0;0;0
-0.000347637;0.000158587;0;0;0;0
-0.000246393;6.88856e-05;0;0;0;0
-0.000183337;-1.53522e-05;0;0;0;0
-0.00014974;-8.52556e-05;0;0;0;0
-0.000136843;-0.00109053;0;0;0;0
-0.00032758;-0.00137595;0;0;0;0
-0.000537255;-0.000602974;0;0;0;0
-0.000550398;-0.000189282;0;0;0;0
-0.000478175;0.000119019;0;0;0;0
-0.000358736;0.000195638;0;0;0;0
-0.000247861;0.00139297;0;0;0;0
8.03044e-05;0.000932927;0;0;0;0
