Employment;Unemployment;Average price;Price min;Wage average;Wage max;Savings;Total debt;Total firm cash;Deficit;Total money;Wage normalizes;Relative dead count;Unemployment share;Consumption propensity;Consumption budget;Sum production
0.504877;0.495123;0.999514;0.900005;0.99941;1;4541.21;4541.21;0;0;0;18000;0;0.50018;0.5;4541.21;9087.79
0.454847;0.545153;0.995941;0.900005;0.996948;1;6367.14;6367.14;0;0;0;17804.6;0;0.491445;0.499806;6349.26;8187.24
0.435401;0.564599;0.992349;0.900005;0.99436;1;7210.05;7210.05;0;0;0;17722.2;0;0.542447;0.498414;7057.62;7837.22
0.429071;0.570929;0.98977;0.900005;0.992286;1;7631.83;7631.83;0;0;0;17640.2;0;0.560082;0.497289;7396.55;7723.29
0.428411;0.571589;0.988473;0.900005;0.990873;1;7838.99;7838.99;0;0;0;17596.4;0;0.567282;0.496792;7587.42;7711.4
0.429971;0.570029;0.988361;0.900005;0.990273;1;7931.52;7931.52;0;0;0;17519.7;0;0.569642;0.496909;7703.68;7739.48
0.43217;0.56783;0.989069;0.900005;0.99035;1;7969.31;7969.31;0;0;0;17401.7;0;0.56883;0.497482;7778.39;7779.06
0.434401;0.565599;0.990273;0.900005;0.990809;1;7986.96;7986.96;0;0;0;17317.1;0;0.566547;0.498272;7831.18;7819.22
0.436508;0.563492;0.991633;0.900005;0.991259;1;7996.25;7996.25;0;0;0;17195.2;0;0.563737;0.499105;7873.59;7857.15
0.438453;0.561547;0.993025;0.900005;0.991673;1;7999.81;7999.81;0;0;0;17099.5;0;0.561015;0.499833;7908.7;7892.15
0.440177;0.559823;0.994282;0.900005;0.99205;1;7998.74;7998.74;0;0;0;17101.6;0;0.557018;0.500428;7936.79;7923.19
0.441645;0.558355;0.995429;0.900005;0.992418;1;7994.74;7994.74;0;0;0;17042.7;0;0.55474;0.500849;7957.52;7949.61
0.442824;0.557176;0.996425;0.900005;0.992696;1;7988.28;7988.28;0;0;0;17000;0;0.552729;0.50114;7971.82;7970.83
0.443713;0.556287;0.997204;0.900005;0.992895;1;7980.11;7980.11;0;0;0;16938.8;0;0.549303;0.501312;7980.08;7986.84
0.44433;0.55567;0.99774;0.900005;0.992993;1;7970.53;7970.53;0;0;0;16846.6;0;0.545378;0.501363;7982.7;7997.94
0.444691;0.555309;0.998093;0.900005;0.992997;1;7960.38;7960.38;0;0;0;16719.2;0;0.54404;0.501305;7980.23;8004.44
0.44482;0.55518;0.998151;0.900005;0.992866;1;7948.52;7948.52;0;0;0;16684.2;0;0.538414;0.501186;7973.87;8006.76
0.444748;0.555252;0.998004;0.900005;0.99268;1;7938.99;7938.99;0;0;0;16569.5;0;0.538106;0.500972;7963.13;8005.46
0.444525;0.555475;0.995946;0.900005;0.991498;1;7957.29;7957.29;0;0;0;16457.4;0;0.534125;0.500718;7947.6;8001.44
0.444626;0.555374;0.99519;0.900005;0.990596;1;7970.43;7970.43;0.00528867;0;0;16418.8;0;0.529726;0.49975;7938.68;8003.27
0.444584;0.555416;0.994667;0.900005;0.989924;1;7976.94;7977;0.064523;0;0;16392;0;0.525594;0.499496;7938.15;8002.51
